File,FnId,Type
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","getIndexOfGivenReference","funRet","number"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","isReferenceField","snapshot","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","isReferenceField","path","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.references.ts","isReferenceField","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.collection.ts","deepGet","target","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.collection.ts","deepGet","path","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.collection.ts","deepGet","funRet","number"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.collection.ts","pathBeginsWith","target","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.collection.ts","pathBeginsWith","prefix","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.collection.ts","pathBeginsWith","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.collection.ts","addToSet","target","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.collection.ts","addToSet","source","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.collection.ts","addToSet","funRet","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.collection.ts","lazyImmutableDeepSet","target","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.collection.ts","lazyImmutableDeepSet","original","any[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.collection.ts","lazyImmutableDeepSet","path","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.collection.ts","lazyImmutableDeepSet","value","number"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/opttyper.collection.ts","lazyImmutableDeepSet","funRet","Set<any>"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/nodes/opttyper.clone.ts","cloneNodeSnapshot","parent","HTMLElement"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/nodes/opttyper.clone.ts","cloneNodeSnapshot","funRet","EntitySnapshot | ParameterizedValueSnapshot"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/operations/opttyper.migrate.ts","migrateEntity","snapshot","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/operations/opttyper.migrate.ts","migrateEntity","migrationMap","Map<any, any>"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/operations/opttyper.migrate.ts","migrateEntity","funRet","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/operations/opttyper.migrate.ts","migrate","cacheSnapshot","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/operations/opttyper.migrate.ts","migrate","migrationMap","Map<any, any>"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/operations/opttyper.migrate.ts","migrate","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/operations/opttyper.SnapshotEditor.ts","nodeIdForParameterizedValue","containerId","number"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/operations/opttyper.SnapshotEditor.ts","nodeIdForParameterizedValue","path","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/operations/opttyper.SnapshotEditor.ts","nodeIdForParameterizedValue","args","any[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/operations/opttyper.SnapshotEditor.ts","nodeIdForParameterizedValue","funRet","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/operations/opttyper.prune.ts","prune","context","Element"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/operations/opttyper.prune.ts","prune","snapshot","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/operations/opttyper.prune.ts","prune","raw","number"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/operations/opttyper.prune.ts","prune","funRet","{ snapshot: any; complete: any; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/opttyper.schema.ts","isSerializable","value","number"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/opttyper.schema.ts","isSerializable","allowUndefined","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/opttyper.schema.ts","isSerializable","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/apollo/opttyper.Transaction.ts","getOriginalFieldArguments","id","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/apollo/opttyper.Transaction.ts","getOriginalFieldArguments","funRet","{ [argName: string]: string; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/apollo/opttyper.util.ts","buildRawOperationFromQuery","document","Document"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/apollo/opttyper.util.ts","buildRawOperationFromQuery","variables","any[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/apollo/opttyper.util.ts","buildRawOperationFromQuery","rootId","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/apollo/opttyper.util.ts","buildRawOperationFromQuery","funRet","Object"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/apollo/opttyper.util.ts","buildRawOperationFromFragment","fragmentDocument","Document"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/apollo/opttyper.util.ts","buildRawOperationFromFragment","rootId","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/apollo/opttyper.util.ts","buildRawOperationFromFragment","variables","any[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/apollo/opttyper.util.ts","buildRawOperationFromFragment","fragmentName","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/apollo/opttyper.util.ts","buildRawOperationFromFragment","funRet","Object"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/opttyper.errors.ts","prettyPath","path","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/opttyper.errors.ts","prettyPath","funRet","any"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.events.ts","populateTemplate","eventTemplate","any"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.events.ts","populateTemplate","stringactorOne","Function"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.events.ts","populateTemplate","actorTwo","string"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.events.ts","populateTemplate","funRet","any"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.events.ts","renderTemplate","world","boolean"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.events.ts","renderTemplate","template","string"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.events.ts","renderTemplate","funRet","any"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.events.ts","addConsequentActor","world","boolean"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.events.ts","addConsequentActor","rule","string"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.events.ts","addConsequentActor","actorOne","any"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.events.ts","addConsequentActor","FunctionactorTwo","any"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.events.ts","addConsequentActor","funRet","any"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.events.ts","applyConsequent","world","boolean"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.events.ts","applyConsequent","typeExpression","any"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.events.ts","applyConsequent","funRet","any"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.events.ts","processEvent","world","boolean"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.events.ts","processEvent","rule","string"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.events.ts","processEvent","actorOne","Function"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.events.ts","processEvent","actorTwo","string"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.events.ts","processEvent","funRet","string"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.story.ts","twoActors","world","boolean"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.story.ts","twoActors","actor","number"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.story.ts","twoActors","funRet","any[]"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.story.ts","checkMatch","rule","string"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.story.ts","checkMatch","source","string"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.story.ts","checkMatch","target","number"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.story.ts","checkMatch","action","Function"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.story.ts","checkMatch","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.story.ts","matchRulesFor","world","boolean"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.story.ts","matchRulesFor","actorOne","Function"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.story.ts","matchRulesFor","actorTwo","string"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.story.ts","matchRulesFor","action","Function"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.story.ts","matchRulesFor","funRet","false | any[]"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.story.ts","randomMatch","world","boolean"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.story.ts","randomMatch","actorOne","Function"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.story.ts","randomMatch","actorTwo","string"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.story.ts","randomMatch","exclude","any[]"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.story.ts","randomMatch","funRet","any[]"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.utility.ts","removeActor","world","boolean"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.utility.ts","removeActor","id","string"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.utility.ts","removeActor","funRet","void"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.utility.ts","getLocalSet","world","boolean"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.utility.ts","getLocalSet","location","any"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.utility.ts","getLocalSet","funRet","any"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.utility.ts","getActor","world","boolean"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.utility.ts","getActor","reference","any[]"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.utility.ts","getActor","funRet","number"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.utility.ts","fetchElement","world","boolean"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.utility.ts","fetchElement","element","Element"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.utility.ts","fetchElement","funRet","void"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.time.ts","advanceTime","world","boolean"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/opttyper.time.ts","advanceTime","funRet","void"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/lib/opttyper.getLocalRules.ts","includes","arr","string"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/lib/opttyper.getLocalRules.ts","includes","item","string"
"../opttyper/Evaluation/PureTypeScript/incrediblesound_story-graph/src/world/components/lib/opttyper.getLocalRules.ts","includes","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/teambition_teambition-sdk/opttyper.index.ts","dateToTime","date","Date"
"../opttyper/Evaluation/PureTypeScript/teambition_teambition-sdk/opttyper.index.ts","dateToTime","returnValue","boolean"
"../opttyper/Evaluation/PureTypeScript/teambition_teambition-sdk/opttyper.index.ts","dateToTime","funRet","string | number"
