File,FnId,Type
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/util/ast/inferTypes.selectionSetIsStatic.ts","selection","funRet","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/util/ast/inferTypes.selectionSetIsStatic.ts","fragmentGetter","funRet","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/ParsedQueryNode/inferTypes.directives.ts","parseOperation","operationString","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/ParsedQueryNode/inferTypes.directives.ts","parseOperation","funRet","{ parsedQuery: DeepReadonly<ParsedQueryWithVariables>; variables: Set<string>; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/ParsedQueryNode/inferTypes.fragments.ts","parseOperation","operationString","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/ParsedQueryNode/inferTypes.fragments.ts","parseOperation","funRet","{ parsedQuery: DeepReadonly<ParsedQueryWithVariables>; variables: Set<string>; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/ParsedQueryNode/inferTypes.static.ts","parseOperation","operationString","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/ParsedQueryNode/inferTypes.static.ts","parseOperation","funRet","{ parsedQuery: DeepReadonly<ParsedQueryWithVariables>; variables: Set<string>; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/ParsedQueryNode/inferTypes.expandVariables.ts","makeFieldMap","query","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/ParsedQueryNode/inferTypes.expandVariables.ts","makeFieldMap","funRet","ParsedQueryWithVariables"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/operations/migrate/inferTypes.entitiesReferencedInParameterizedValue.ts","createNewCacheSnapshot","cacheContext","CacheContext"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/operations/migrate/inferTypes.entitiesReferencedInParameterizedValue.ts","createNewCacheSnapshot","funRet","CacheSnapshot"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/operations/migrate/inferTypes.entityMigrations.ts","createNewCacheSnapshot","cacheContext","CacheContext"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/operations/migrate/inferTypes.entityMigrations.ts","createNewCacheSnapshot","funRet","CacheSnapshot"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/operations/restore/basic/inferTypes.nestedReferencesInArray.ts","entityTransformer","node","{ [x: string]: string; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/operations/restore/basic/inferTypes.nestedReferencesInArray.ts","entityTransformer","funRet","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/operations/restore/basic/inferTypes.arrayOfReferencesOffARoot.ts","entityTransformer","node","{ [x: string]: string; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/operations/restore/basic/inferTypes.arrayOfReferencesOffARoot.ts","entityTransformer","funRet","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/operations/restore/basic/inferTypes.nestedReference.ts","entityTransformer","node","{ [x: string]: string; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/operations/restore/basic/inferTypes.nestedReference.ts","entityTransformer","funRet","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/operations/restore/basic/inferTypes.multipleReferencesOffARoot.ts","entityTransformer","node","{ [x: string]: any; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/unit/operations/restore/basic/inferTypes.multipleReferencesOffARoot.ts","entityTransformer","funRet","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.context.ts","createStrictCacheContext","funRet","CacheContext"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.serialization.ts","createGraphSnapshot","payload","JsonObject"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.serialization.ts","createGraphSnapshot","gqlString","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.serialization.ts","createGraphSnapshot","cacheContext","CacheContext"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.serialization.ts","createGraphSnapshot","gqlVariables","JsonObject"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.serialization.ts","createGraphSnapshot","rootId","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.serialization.ts","createGraphSnapshot","funRet","GraphSnapshot"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.graphql.ts","query","gqlString","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.graphql.ts","query","variables","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.graphql.ts","query","rootId","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.graphql.ts","query","funRet","{ rootId: any; document: any; variables: any; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.write.ts","createSnapshot","payload","JsonObject"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.write.ts","createSnapshot","gqlString","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.write.ts","createSnapshot","gqlVariables","JsonObject"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.write.ts","createSnapshot","rootId","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.write.ts","createSnapshot","cacheContext","CacheContext"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.write.ts","createSnapshot","funRet","EditedSnapshot"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.write.ts","updateSnapshot","baseline","GraphSnapshot"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.write.ts","updateSnapshot","payload","JsonObject"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.write.ts","updateSnapshot","gqlString","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.write.ts","updateSnapshot","gqlVariables","JsonObject"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.write.ts","updateSnapshot","rootId","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.write.ts","updateSnapshot","cacheContext","CacheContext"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/test/helpers/inferTypes.write.ts","updateSnapshot","funRet","EditedSnapshot"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.errors.ts","prettyPath","path","any[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.errors.ts","prettyPath","funRet","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/context/inferTypes.ConsoleTracer.ts","_makeDefaultEmitter","level","string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/context/inferTypes.ConsoleTracer.ts","_makeDefaultEmitter","funRet","(message: any, ...args: any[]) => void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/context/inferTypes.CacheContext.ts","_makeEntityIdMapper","mapper","(node: { id: any; }) => any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/context/inferTypes.CacheContext.ts","_makeEntityIdMapper","funRet","(node: any) => string"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/context/inferTypes.CacheContext.ts","defaultEntityIdMapper","node","{ id: any; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/context/inferTypes.CacheContext.ts","defaultEntityIdMapper","funRet","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/context/inferTypes.CacheContext.ts","operationCacheKey","document","{ loc: any; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/context/inferTypes.CacheContext.ts","operationCacheKey","fragmentName","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/context/inferTypes.CacheContext.ts","operationCacheKey","funRet","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.schema.ts","isSerializable","value","NestedValue<JsonScalar>"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.schema.ts","isSerializable","allowUndefined","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.schema.ts","isSerializable","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.collection.ts","deepGet","target","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.collection.ts","deepGet","path","string | any[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.collection.ts","deepGet","funRet","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.collection.ts","pathBeginsWith","target","string | any[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.collection.ts","pathBeginsWith","prefix","string | any[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.collection.ts","pathBeginsWith","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.collection.ts","addToSet","target","{ add: (arg0: any) => void; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.collection.ts","addToSet","source","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.collection.ts","addToSet","funRet","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.collection.ts","lazyImmutableDeepSet","target","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.collection.ts","lazyImmutableDeepSet","original","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.collection.ts","lazyImmutableDeepSet","path","string | any[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.collection.ts","lazyImmutableDeepSet","value","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.collection.ts","lazyImmutableDeepSet","funRet","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.primitive.ts","isScalar","value","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.primitive.ts","isScalar","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.primitive.ts","isObject","value","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.primitive.ts","isObject","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.primitive.ts","isObjectOrNull","value","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.primitive.ts","isObjectOrNull","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.primitive.ts","isNil","value","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.primitive.ts","isNil","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.primitive.ts","isNumber","element","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.primitive.ts","isNumber","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","removeNodeReference","direction","string | number"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","removeNodeReference","snapshot","{ [x: string]: any; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","removeNodeReference","id","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","removeNodeReference","path","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","removeNodeReference","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","addNodeReference","direction","string | number"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","addNodeReference","snapshot","{ [x: string]: any[]; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","addNodeReference","id","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","addNodeReference","path","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","addNodeReference","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","hasNodeReference","snapshot","{ [x: string]: any; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","hasNodeReference","type","string | number"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","hasNodeReference","id","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","hasNodeReference","path","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","hasNodeReference","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","getIndexOfGivenReference","references","{ findIndex: (arg0: (reference: any) => any) => any; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","getIndexOfGivenReference","id","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","getIndexOfGivenReference","path","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","getIndexOfGivenReference","funRet","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","isReferenceField","snapshot","{ [x: string]: any; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","isReferenceField","path","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.references.ts","isReferenceField","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.ast.ts","variableDefaultsInOperation","operation","{ variableDefinitions: any; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.ast.ts","variableDefaultsInOperation","funRet","{}"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.ast.ts","fragmentMapForDocument","document","{ definitions: any; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.ast.ts","fragmentMapForDocument","funRet","{}"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.ast.ts","selectionSetIsStatic","selectionSet","{ selections: any; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.ast.ts","selectionSetIsStatic","fragmentGetter","(arg0: any) => any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.ast.ts","selectionSetIsStatic","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.ast.ts","fieldIsStatic","field","{ directives: any; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.ast.ts","fieldIsStatic","funRet","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.ast.ts","fieldHasAlias","field","{ alias: any; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.ast.ts","fieldHasAlias","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.ast.ts","fieldIsParameterized","field","{ arguments: string | any[]; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.ast.ts","fieldIsParameterized","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.ast.ts","fieldHasStaticDirective","__0","{ directives: any; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.ast.ts","fieldHasStaticDirective","funRet","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.tree.ts","walkOperation","rootOperation","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.tree.ts","walkOperation","result","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.tree.ts","walkOperation","visitor","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.tree.ts","walkOperation","funRet","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.tree.ts","get","value","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.tree.ts","get","key","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/util/inferTypes.tree.ts","get","funRet","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/nodes/inferTypes.clone.ts","cloneNodeSnapshot","parent","{ inbound: any; outbound: any; data: string | number | boolean | JsonObject | NestedArray<any>; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/nodes/inferTypes.clone.ts","cloneNodeSnapshot","","any[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/nodes/inferTypes.clone.ts","cloneNodeSnapshot","funRet","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","parseQuery","context","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","parseQuery","fragments","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","parseQuery","selectionSet","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","parseQuery","funRet","{ parsedQuery: any; variables: Set<string>; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","_buildNodeMap","variables","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","_buildNodeMap","context","{ tracer: { warning: (arg0: string) => void; }; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","_buildNodeMap","fragments","{ [x: string]: any; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","_buildNodeMap","selectionSet","{ selections: any; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","_buildNodeMap","path","any[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","_buildNodeMap","funRet","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","areChildrenDynamic","children","{ [x: string]: any; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","areChildrenDynamic","funRet","boolean"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","_buildFieldArgs","variables","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","_buildFieldArgs","argumentsNode","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","_buildFieldArgs","funRet","{}"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","_valueFromNode","variables","{ add: (arg0: any) => void; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","_valueFromNode","node","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","_valueFromNode","funRet","any"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","_collectDirectiveVariables","variables","{ add: (arg0: any) => void; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","_collectDirectiveVariables","node","{ directives: any; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","_collectDirectiveVariables","funRet","void"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","_mergeNodes","path","any[]"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","_mergeNodes","target","ParsedQueryNode<JsonScalar>"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","_mergeNodes","source","{ args: any; schemaName: any; children: { [x: string]: any; }; hasParameterizedChildren: any; }"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","_mergeNodes","funRet","ParsedQueryNode<JsonScalar>"
"../opttyper/Evaluation/PureTypeScript/convoyinc_apollo-cache-hermes/src/inferTypes.ParsedQueryNode.ts","expandVariables","parsed","any"
